Market_Cap,Percent24,Name,Price,Percent7d,Volume,Circulating_Supply,Percent1,Symbol
"
                        $227,682,877,905
                    ",0.91%,Bitcoin,$13555.80,-9.26%,"$17,022,000,000","
                            16,795,975",-0.34%,BTC
"
                        $116,351,867,844
                    ",0.33%,Ethereum,$1200.61,-53.12%,"$8,345,060,000","
                            96,910,627",-0.83%,ETH
"
                        $66,854,850,489
                    ",13.89%,Ripple,$1.73,-42.98%,"$4,103,020,000","
                            38,739,142,811",-1.23%,XRP
"
                        $41,961,020,622
                    ",2.74%,Bitcoin Cash,$2482.08,-0.33%,"$2,535,920,000","
                            16,905,588",-0.96%,BCH
"
                        $18,041,403,888
                    ",14.33%,Cardano,$0.695852,-27.15%,"$229,058,000","
                            25,927,070,538",-0.72%,ADA
"
                        $12,741,313,508
                    ",33.17%,Litecoin,$232.90,-11.69%,"$1,063,190,000","
                            54,707,933",-1.16%,LTC
"
                        $12,080,159,999
                    ",6.58%,NEM,$1.34,-41.78%,"$87,833,100","
                            8,999,999,999",-0.76%,XEM
"
                        $9,579,261,986
                    ",0.56%,IOTA,$3.45,-12.53%,"$271,739,000","
                            2,779,530,283",-0.86%,MIOTA
"
                        $8,905,121,695
                    ",1.61%,Stellar,$0.497772,-36.55%,"$229,830,000","
                            17,889,961,056",-2.26%,XLM
"
                        $7,861,562,030
                    ",4.90%,Dash,$1006.41,-8.82%,"$194,187,000","
                            7,811,490",-2.37%,DASH
"
                        $7,314,190,000
                    ",4.11%,NEO,$112.53,-7.40%,"$290,821,000","
                            65,000,000",-3.27%,NEO
"
                        $7,086,142,940
                    ",0.08%,TRON,$0.107777,-20.39%,"$1,243,350,000","
                            65,748,192,475",-0.71%,TRX
"
                        $6,161,999,754
                    ",13.79%,EOS,$10.32,-8.11%,"$1,456,080,000","
                            596,861,658",-1.70%,EOS
"
                        $5,696,785,132
                    ",0.77%,Monero,$365.43,-19.67%,"$211,048,000","
                            15,589,180",-0.06%,XMR
"
                        $3,600,765,513
                    ",84.36%,ICON,$9.51,-1.88%,"$199,307,000","
                            378,545,005",-0.43%,ICX
"
                        $3,547,788,247
                    ",10.75%,Bitcoin Gold,$211.71,-13.43%,"$128,881,000","
                            16,757,774",-1.87%,BTG
"
                        $3,497,381,172
                    ",13.15%,RaiBlocks,$26.25,-30.92%,"$29,558,000","
                            133,248,289",-0.95%,XRB
"
                        $3,429,330,112
                    ",15.21%,Qtum,$46.47,-33.52%,"$834,656,000","
                            73,799,504",-1.50%,QTUM
"
                        $3,323,887,550
                    ",9.48%,Ethereum Classic,$33.56,-0.54%,"$694,454,000","
                            99,036,936",-3.88%,ETC
"
                        $3,029,670,632
                    ",20.14%,Lisk,$25.92,-23.91%,"$81,161,300","
                            116,885,892",-0.20%,LSK
"
                        $2,239,721,764
                    ",4.10%,OmiseGO,$21.95,-33.39%,"$139,471,000","
                            102,042,552",-2.01%,OMG
"
                        $2,157,054,156
                    ",31.08%,Verge,$0.148495,-8.55%,"$211,202,000","
                            14,526,106,308",-0.22%,XVG
"
                        $2,140,702,272
                    ",10.21%,Siacoin,$0.068184,-37.67%,"$134,787,000","
                            31,396,146,174",-0.67%,SC
"
                        $1,900,700,110
                    ",0.59%,Zcash,$626.70,-25.09%,"$220,279,000","
                            3,032,856",-0.11%,ZEC
"
                        $1,848,739,901
                    ",2.12%,Binance Coin,$18.67,-29.60%,"$187,645,000","
                            99,014,000",-2.04%,BNB
"
                        $1,839,375,312
                    ",10.18%,Bytecoin,$0.010015,-24.36%,"$14,003,200","
                            183,654,702,982",-2.03%,BCN
"
                        $1,816,675,696
                    ",18.63%,Populous,$49.09,-2.74%,"$3,841,470","
                            37,004,027",-0.43%,PPT
"
                        $1,789,764,464
                    ",3.10%,BitConnect,$289.35,-9.75%,"$22,306,600","
                            6,185,466",-0.64%,BCC
"
                        $1,707,246,988
                    ",11.11%,VeChain,$6.16,-10.20%,"$361,568,000","
                            277,162,633",-0.77%,VEN
"
                        $1,626,621,117
                    ",6.44%,KuCoin Shares,$17.87,-4.99%,"$24,933,500","
                            91,043,076",-2.45%,KCS
"
                        $1,598,702,751
                    ",5.30%,Stratis,$16.20,-7.12%,"$40,951,600","
                            98,696,321",-4.35%,STRAT
